TIME(s)  FUNC       PID      COMM         SOCKFD LEN    FLAGS 
0.000    close      966    vminfo       4      0      0
-0.000   socket     966    vminfo       0      0      0
1.616    recvfrom   1064   ovsdb-server 17     129    0
4.706    socket     23006  ping         0      0      0
4.706    socket     23006  ping         3      0      0
4.706    socket     23006  ping         0      0      0
4.706    socket     23006  ping         4      0      0
4.706    close      23006  ping         4      0      0
4.706    connect    23006  ping         4      0      0
4.706    sendmsg    23006  ping         3      0      0
5.001    close      966    vminfo       4      0      0
5.001    socket     966    vminfo       0      0      0
5.398    close      926    irqbalance   3      0      0
5.415    sendto     22987  dhclient     3      115    4000
5.707    sendmsg    23006  ping         3      0      800
6.620    recvfrom   1064   ovsdb-server 17     129    0
6.708    sendmsg    23006  ping         3      0      800
7.321    sendmsg    761    avahi-daemon 13     0      0
7.709    sendmsg    23006  ping         3      0      800
8.710    sendmsg    23006  ping         3      0      800
9.712    sendmsg    23006  ping         3      0      800
10.002   close      966    vminfo       4      0      0
10.002   socket     966    vminfo       0      0      0
10.714   sendmsg    23006  ping         3      0      800
11.623   recvfrom   1064   ovsdb-server 17     129    0
11.716   sendmsg    23006  ping         3      0      800
12.717   sendmsg    23006  ping         3      0      800
13.719   sendmsg    23006  ping         3      0      800
14.720   sendmsg    23006  ping         3      0      800
15.003   close      966    vminfo       4      0      0
15.003   socket     966    vminfo       0      0      0
15.722   sendmsg    23006  ping         3      0      800
16.513   socket     23020  vim          0      0      0
16.513   socket     23020  vim          0      0      0
16.629   recvfrom   1064   ovsdb-server 17     129    0
16.723   sendmsg    23006  ping         3      0      800
17.726   sendmsg    23006  ping         3      0      800
18.728   sendmsg    23006  ping         3      0      800
19.334   sendmsg    806    NetworkManag 6      0      4000
19.334   sendmsg    806    NetworkManag 6      0      4000
19.355   sendmsg    806    NetworkManag 6      0      4000
19.355   sendmsg    806    NetworkManag 6      0      4000
19.355   sendmsg    806    NetworkManag 6      0      4000
19.356   sendmsg    806    NetworkManag 6      0      4000
